node_id;x;y;z;v_x;v_y;v_z;disp_x;disp_y;disp_z;T;stress_mean;strain_plast;stress_eff;stress_flow;strain_rate;surface_dist;contact_dist;strain_vol;structHardness;structTensile;structHeat;structVolume;structt85;structInstTRate;volume;Sub.stress_xx;Sub.stress_yy;Sub.stress_zz;Sub.stress_xy;Sub.stress_yz;Sub.stress_zx;stress_1;stress_2;stress_3;strain_elast;Sub.Strain_eff;Sub._strain_xx;Sub._strain_yy;Sub._strain_zz;Sub._strain_xy;Sub._strain_yz;Sub._strain_zx;Sub.strain_xx;Sub.strain_yy;Sub.strain_zz;Sub.strain_xy;Sub.strain_yz;Sub.strain_zx;Sub.strain_1;Sub.strain_1_x;Sub.strain_1_y;Sub.strain_1_z;Sub.strain_2;Sub.strain_2_x;Sub.strain_2_y;Sub.strain_2_z;Sub.strain_3;Sub.strain_3_x;Sub.strain_3_y;Sub.strain_3_z;Sub.strain_vol;Sub._temper_vol;Sub.stress_xx;Sub.stress_yy;Sub.stress_zz;Sub.stress_xy;Sub.stress_yz;Sub.stress_zx;Sub.stress_1;Sub.stress_1_x;Sub.stress_1_y;Sub.stress_1_z;Sub.stress_2;Sub.stress_2_x;Sub.stress_2_y;Sub.stress_2_z;Sub.stress_3;Sub.stress_3_x;Sub.stress_3_y;Sub.stress_3_z
0;0.375701;0.0548956;-0.402432;-1.10567e-08;-3.4685e-09;4.84084e-09;-0.00107669;-0.00028522;0.000439853;38.9663;-3.04994e+08;1.38078;7.29354e+08;2.04422e+09;0;0;1e+30;-0.0890948;428.496;1.33547e+09;109696;2.12678;3522.07;0.00524767;1.24076e-06;-8.19309e+07;-5.46745e+08;-2.86308e+08;-5.20086e+07;-3.4188e+08;5.88004e+07;1.32163e+07;-1.45704e+08;-7.82495e+08;0.23245;0.62467;0.00622019;0.296215;-0.302435;0.00281675;0.879777;0.195252;-0.0234781;0.266517;-0.332134;0.00281675;0.879777;0.195252;0.50349;0.0452188;0.441531;0.237714;-0.0144381;-0.0142088;0.00218046;-0.00134716;-0.578147;0.0885292;0.263781;-0.50679;-0.0890948;-0.108323;-8.19309e+07;-5.46745e+08;-2.86308e+08;-5.20085e+07;-3.4188e+08;5.88003e+07;1.32162e+07;8.37992e+06;-5.88122e+06;8.35798e+06;-1.45704e+08;-1.12653e+08;-5.10527e+07;7.70243e+07;-7.82495e+08;-1.0687e+07;-6.44884e+08;-4.43068e+08
1;0.377177;0.0604246;-0.398312;-1.1156e-08;-3.87682e-09;4.55468e-09;-0.00108635;-0.000320132;0.000407699;38.8783;-2.59112e+08;1.51687;7.25183e+08;2.04912e+09;0;0;1e+30;-0.0847752;428.496;1.33547e+09;109685;2.12669;3517.34;0.00522363;9.4283e-07;-1.50618e+06;-4.78181e+08;-2.97649e+08;-3.31657e+07;-3.39496e+08;3.19559e+07;2.97921e+07;-6.78594e+07;-7.39269e+08;0.231118;0.65158;0.149848;0.108252;-0.2581;-0.0513437;1.02587;0.130556;0.121589;0.0799938;-0.286358;-0.0513437;1.02587;0.130556;0.442352;0.023196;0.360248;0.255655;0.126708;0.126046;-0.0118284;0.00523122;-0.653835;0.0572594;0.37449;-0.532897;-0.0847752;-0.104276;-1.50623e+06;-4.78181e+08;-2.97649e+08;-3.31657e+07;-3.39496e+08;3.19559e+07;2.9792e+07;2.45686e+07;-1.04427e+07;1.32249e+07;-6.78593e+07;3.8377e+07;3.38025e+07;-4.46035e+07;-7.39269e+08;-6.8557e+06;-5.86313e+08;-4.50232e+08
2;0.377543;0.0661054;-0.393591;-1.11879e-08;-4.28717e-09;4.22256e-09;-0.00108841;-0.000365628;0.000378836;38.875;-1.96376e+08;1.61903;7.56337e+08;2.06051e+09;0;0;1e+30;-0.0831384;428.496;1.33547e+09;109685;2.12667;3516.95;0.00522272;3.38749e-07;6.40415e+07;-3.66828e+08;-2.8634e+08;-3.01871e+07;-3.70355e+08;1.11956e+07;8.50773e+07;2.52102e+07;-6.99414e+08;0.241046;0.644064;0.159293;0.0742338;-0.233527;0.0224215;1.03227;0.0867363;0.13158;0.0465211;-0.26124;0.0224215;1.03227;0.0867363;0.43525;0.0498214;0.345908;0.259439;0.128572;0.127643;-0.0145681;-0.00508836;-0.646961;0.0233464;0.385776;-0.518835;-0.0831384;-0.103013;6.40413e+07;-3.66828e+08;-2.8634e+08;-3.0187e+07;-3.70355e+08;1.11956e+07;8.50772e+07;6.87654e+07;-3.44212e+07;3.63955e+07;2.52103e+07;-1.48359e+07;-1.3382e+07;1.53747e+07;-6.99414e+08;-1.37515e+07;-5.20839e+08;-4.66603e+08
3;0.377166;0.0698509;-0.390468;-1.11725e-08;-4.56075e-09;3.99927e-09;-0.00108423;-0.000391069;0.000356073;38.9168;-2.69067e+08;1.63483;7.52733e+08;2.06534e+09;0;0;1e+30;-0.0865371;428.496;1.33547e+09;109688;2.12671;3516.69;0.00523403;6.66354e-07;-2.02874e+07;-3.96246e+08;-3.90668e+08;-2.06244e+07;-3.76533e+08;1.54891e+07;6.98601e+06;-4.41685e+07;-7.70019e+08;0.239899;0.576112;0.0708811;0.0165933;-0.0874743;0.0691007;0.982099;0.0228009;0.0420354;-0.0122525;-0.11632;0.0691007;0.982099;0.0228009;0.432357;0.0367844;0.320624;0.287714;0.0395482;0.039393;-0.00185652;-0.00296755;-0.558442;-0.0136295;0.373724;-0.414731;-0.0865371;-0.105979;-2.02875e+07;-3.96246e+08;-3.90668e+08;-2.06243e+07;-3.76533e+08;1.5489e+07;6.98589e+06;4.77495e+06;-3.60855e+06;3.60288e+06;-4.41683e+07;-3.22394e+07;-2.11509e+07;2.15431e+07;-7.70019e+08;-3.83096e+06;-5.46583e+08;-5.42367e+08
4;0.377031;0.07325;-0.387062;-1.11713e-08;-4.80877e-09;3.7548e-09;-0.00108346;-0.000417397;0.000327512;38.945;-2.73553e+08;1.65002;7.58943e+08;2.04909e+09;0;0;1e+30;-0.0895302;428.496;1.33547e+09;109691;2.12675;3515.86;0.00524168;4.19234e-06;2.22777e+07;-3.39431e+08;-5.03506e+08;-4.33114e+07;-3.41938e+08;2.8868e+07;4.56176e+07;-9.3145e+07;-7.73132e+08;0.241879;0.54709;-0.0174977;-0.0419629;0.0594605;0.115774;0.933539;-0.0426578;-0.0473411;-0.0718063;0.0296171;0.115774;0.933539;-0.0426578;0.449474;0.0207361;0.300792;0.333348;-0.0410898;-0.0407163;-0.00259951;0.00487841;-0.497914;0.0629221;-0.368644;0.328727;-0.0895302;-0.108945;2.22777e+07;-3.39431e+08;-5.03506e+08;-4.33112e+07;-3.41938e+08;2.88678e+07;4.56174e+07;4.16079e+07;-1.48151e+07;1.14127e+07;-9.31448e+07;-3.81823e+07;-6.65715e+07;5.27854e+07;-7.73132e+08;-4.05054e+06;-4.78915e+08;-6.06924e+08
5;0.378442;0.0800246;-0.376886;-1.13043e-08;-5.31129e-09;3.04033e-09;-0.0010971;-0.000464168;0.000252377;38.9443;-3.09105e+08;1.63783;6.9405e+08;2.044e+09;0;0;1e+30;-0.0798538;428.496;1.33547e+09;109687;2.12674;3515.49;0.00524145;7.18258e-06;-5.52725e+07;-2.75459e+08;-5.96584e+08;-8.72781e+07;-2.78722e+08;3.4084e+07;1.25717e+07;-1.81913e+08;-7.57974e+08;0.221198;0.598559;0.0301364;-0.18188;0.151743;0.0969062;0.928737;0.298075;0.00351845;-0.208498;0.125125;0.0969062;0.928737;0.298075;0.497353;0.144894;0.268395;0.392848;-0.0380118;-0.0362077;0.00911752;0.00712534;-0.539195;-0.0476125;-0.43513;0.314843;-0.0798538;-0.0990572;-5.52725e+07;-2.75459e+08;-5.96584e+08;-8.72781e+07;-2.78722e+08;3.40839e+07;1.25716e+07;1.01543e+07;-6.50846e+06;3.54614e+06;-1.81913e+08;-1.07185e+08;-1.25915e+08;7.58237e+07;-7.57974e+08;-1.55725e+07;-3.81162e+08;-6.5498e+08
6;0.378295;0.0852399;-0.367613;-1.13389e-08;-5.69225e-09;2.38176e-09;-0.00109909;-0.000502102;0.000194325;38.9877;-3.91076e+08;1.28192;7.16042e+08;2.03075e+09;0;0;1e+30;-0.0820086;428.496;1.33548e+09;109688;2.12673;3513.21;0.00525306;3.12677e-06;-1.24965e+08;-3.00081e+08;-7.48183e+08;-1.12559e+08;-2.30882e+08;4.02381e+07;-3.81832e+07;-2.89125e+08;-8.4592e+08;0.228209;0.528338;0.0238508;-0.276851;0.253;-0.00424941;0.742792;0.0567147;-0.00348541;-0.304187;0.225664;-0.00424941;0.742792;0.0567147;0.418334;0.0240114;0.190877;0.371474;-0.00442909;-0.00441977;0.000235414;0.000164721;-0.495914;-0.0149908;-0.440494;0.227311;-0.0820086;-0.100724;-1.24965e+08;-3.00081e+08;-7.48183e+08;-1.12559e+08;-2.30882e+08;4.02381e+07;-3.81832e+07;-3.08879e+07;2.07736e+07;-8.5058e+06;-2.89126e+08;-1.69951e+08;-2.14603e+08;9.30371e+07;-8.4592e+08;-8.22548e+06;-3.30966e+08;-7.78444e+08
7;0.37717;0.0888642;-0.357869;-1.1316e-08;-5.96569e-09;1.67754e-09;-0.00108719;-0.00052443;0.000122561;39.0717;-3.75712e+08;1.23148;7.5994e+08;2.02485e+09;0;0;1e+30;-0.0809889;428.496;1.33548e+09;109689;2.12677;3510.46;0.00527579;5.60205e-06;-1.32842e+08;-1.78538e+08;-8.15758e+08;-9.52846e+07;-1.91121e+08;3.38372e+07;-2.82729e+07;-2.30108e+08;-8.68756e+08;0.242204;0.514907;-0.0158232;-0.329521;0.345344;-0.00160111;0.580154;0.0511153;-0.0428194;-0.356518;0.318348;-0.00160111;0.580154;0.0511153;0.427087;0.0215046;0.14806;0.400024;-0.043793;-0.0437259;0.00170646;0.00171902;-0.464283;-0.0106271;-0.435115;0.161619;-0.0809889;-0.0997959;-1.32842e+08;-1.78538e+08;-8.15758e+08;-9.52846e+07;-1.91121e+08;3.38372e+07;-2.82729e+07;1.96334e+07;-1.95609e+07;5.591e+06;-2.30108e+08;-1.65562e+08;-1.54499e+08;4.08534e+07;-8.68756e+08;8.6363e+06;-2.30715e+08;-8.37516e+08
8;0.376861;0.0909439;-0.345604;-1.13677e-08;-6.12902e-09;7.91293e-10;-0.00108414;-0.000538064;3.54877e-05;39.1275;-3.98307e+08;1.25203;7.62655e+08;2.00596e+09;0;0;1e+30;-0.0775901;428.496;1.33548e+09;109687;2.12668;3506.2;0.00529081;6.48875e-06;-1.00416e+08;-2.09333e+08;-8.85172e+08;-1.00797e+08;-5.43377e+07;4.95581e+06;-3.90778e+07;-2.66318e+08;-8.89525e+08;0.243072;0.465233;0.0363326;-0.419206;0.382873;0.0103504;0.0270957;-0.0345514;0.0104692;-0.445069;0.35701;0.0103504;0.0270957;-0.0345514;0.358088;-0.0176837;0.00591818;0.357602;0.0096851;0.00967258;0.000124265;0.000476261;-0.445363;0.00534455;-0.445266;0.00763327;-0.0775901;-0.0962616;-1.00416e+08;-2.09333e+08;-8.85172e+08;-1.00797e+08;-5.43377e+07;4.95582e+06;-3.90778e+07;-3.33908e+07;2.02459e+07;-1.49581e+06;-2.66318e+08;-1.38349e+08;-2.26784e+08;1.88046e+07;-8.89525e+08;-3.5463e+06;-7.13564e+07;-8.86651e+08
9;0.37673;0.0912001;-0.334729;-1.14292e-08;-6.1615e-09;4.86095e-12;-0.00108237;-0.000539537;-4.15376e-05;39.1704;-3.78141e+08;1.32014;7.62351e+08;2.00803e+09;0;0;1e+30;-0.0767949;428.497;1.33548e+09;109688;2.12667;3502.33;0.00530236;3.75985e-06;-8.13478e+07;-1.82363e+08;-8.70711e+08;-9.11276e+07;2.46837e+07;1.70958e+07;-2.7661e+07;-2.34634e+08;-8.72127e+08;0.242977;0.62421;0.105577;-0.564115;0.458538;0.139681;-0.234;-0.12406;0.0799788;-0.589713;0.432939;0.139681;-0.234;-0.12406;0.459014;-0.083536;-0.0555347;0.447919;0.0728184;0.0712958;0.00505682;0.0139235;-0.608627;0.0553238;-0.602676;-0.0644043;-0.0767949;-0.0955865;-8.13478e+07;-1.82363e+08;-8.70711e+08;-9.11276e+07;2.46837e+07;1.70958e+07;-2.7661e+07;-2.38384e+07;1.40305e+07;-72607.9;-2.34634e+08;-1.18858e+08;-2.02001e+08;-1.10334e+07;-8.72127e+08;2.27728e+07;3.41836e+07;-8.71159e+08
